연번,업체명,대표자명(익명),벤처확인유형,지역,주소,업종분류(기보),업종명(11차),주생산품,벤처유효시작일,벤처유효종료일,벤처확인기관,신규_재확인
49,(주)베스테크,원**,연구개발유형,경기,경기도 화성시,제조업,그 외 기타 특수목적용 기계 제조업,반도체장비,2023-08-23,2026-08-22,벤처기업확인기관,재확인
50,(주)카리,김**,혁신성장유형,부산,부산광역시 사상구,제조업,그 외 자동차용 신품 부품 제조업,MBR ASSYFR SEAT INRLHRH외,2023-08-03,2026-08-02,벤처기업확인기관,재확인
51,주식회사 인실리콕스,정**,연구개발유형,서울,서울특별시 강남구,정보처리S/W,컴퓨터 프로그래밍 서비스업,"전문, 과학 및 기술 서비스업, 교육 서비스업",2023-05-31,2026-05-30,벤처기업확인기관,신규
52,주식회사 칼만텍,최**,혁신성장유형,경기,경기도 성남시,제조업,산업용 로봇 제조업,볼 휠 기반 전 방향 이동 로봇 플랫폼 및 자율주행 솔루션,2023-06-21,2026-06-20,벤처기업확인기관,신규
53,태광이브이 주식회사,김**,혁신성장유형,경기,경기도 남양주시,제조업,그 외 기타 분류 안된 금속 가공 제품 제조업,"전기차충전소캐노피, 스마트차양, 교통안전시설물",2023-06-14,2026-06-13,벤처기업확인기관,신규
54,에이앤티솔루션,이**,혁신성장유형,서울,서울특별시 강남구,정보처리S/W,컴퓨터시스템 통합 자문 및 구축 서비스업,"소프트웨어 개발, 웹사이트, 고객관리 ",2023-06-21,2026-06-20,벤처기업확인기관,재확인
55,주식회사 더블유엠어시,김**,혁신성장유형,전북,전라북도 전주시,제조업,그 외 기타 플라스틱 제품 제조업,시제품,2023-05-17,2026-05-16,벤처기업확인기관,신규
56,주식회사 라파,이**,혁신성장유형,경기,경기도 파주시,제조업,그 외 기타 의료용 기기 제조업,멸균종이가공,2023-05-31,2026-05-30,벤처기업확인기관,신규
57,(주)세보테크놀로지,이**,혁신성장유형,부산,부산광역시 강서구,제조업,선박 구성 부분품 제조업,"조선, 해양플랜트 기자재 부품 설계 및 제작",2023-05-10,2026-05-09,벤처기업확인기관,신규
58,기획공방,신**,혁신성장유형,울산,울산광역시 중구,기타,경영 컨설팅업,상세페이지 디자인,2023-05-31,2026-05-30,벤처기업확인기관,신규
59,루벤티스 주식회사,오**,혁신성장유형,서울,서울특별시 강남구,정보처리S/W,컴퓨터 프로그래밍 서비스업,"스마트 물류 솔루션, 빅데이터 인공지능 구축, RPA 솔루션",2023-06-14,2026-06-13,벤처기업확인기관,신규
60,주식회사 필모아,임**,혁신성장유형,대구,대구광역시 달서구,제조업,그 외 기타 플라스틱 제품 제조업,핸드폰케이스,2023-06-07,2026-06-06,벤처기업확인기관,재확인
61,그린브릭스컴퍼니 주식회사,심**,혁신성장유형,서울,서울특별시 금천구,기타,광고 대행업,광고대행서비스,2023-05-17,2026-05-16,벤처기업확인기관,신규
62,씨엔시스,이**,혁신성장유형,경기,경기도 화성시,제조업,반도체 제조용 기계 제조업,"반도체 공정장비 개발, 산업용검사장비개발,서립자동화시스템, 모니터링시스템",2023-05-31,2026-05-30,벤처기업확인기관,재확인
63,에이스공조(주),"장**,박**",혁신성장유형,경기,경기도 안양시,제조업,가정용 및 산업용 공기 조화장치 제조업,공기조화기 외,2023-06-21,2026-06-20,벤처기업확인기관,재확인
64,주식회사 티앤돌프,김**,혁신성장유형,경기,경기도 부천시,제조업,그 외 기타 특수목적용 기계 제조업,만능인장시험기,2023-05-31,2026-05-30,벤처기업확인기관,재확인
65,(주)산들네트웍스,김**,혁신성장유형,광주,광주광역시 북구,정보처리S/W,시스템 소프트웨어 개발 및 공급업,방송통신기자재,2023-06-14,2026-06-13,벤처기업확인기관,재확인
66,㈜기림엔지니어링,이**,혁신성장유형,경기,경기도 성남시,제조업,가정용 및 산업용 공기 조화장치 제조업,주방환풍기시스템,2023-07-20,2026-07-19,벤처기업확인기관,재확인
67,주식회사 대원이엔지,박**,혁신성장유형,부산,부산광역시 사상구,제조업,배전반 및 전기 자동제어반 제조업,배전반분전반전동기제어반,2023-11-29,2026-11-28,벤처기업확인기관,재확인
68,주식회사 아인스팩,"신**,윤**",혁신성장유형,경기,경기도 평택시,제조업,반도체 제조용 기계 제조업,"태양광증착장비,  약액공급장치",2023-05-10,2026-05-09,벤처기업확인기관,신규
69,주식회사 테이블에이아이,서**,혁신성장유형,서울,서울특별시 강서구,정보처리S/W,응용 소프트웨어 개발 및 공급업,빅데이터 플랫폼,2023-05-24,2026-05-23,벤처기업확인기관,신규
70,주식회사 포헬스,윤**,혁신성장유형,서울,서울특별시 마포구,정보처리S/W,응용 소프트웨어 개발 및 공급업,건강검진 플랫폼 개발 및 서비스,2023-05-24,2026-05-23,벤처기업확인기관,신규
71,(주)썬터치,김**,혁신성장유형,충남,충청남도 금산군,제조업,가정용 비전기식 조리 및 난방 기구 제조업,휴대용 가스레인지주방용품,2023-05-10,2026-05-09,벤처기업확인기관,재확인
72,주식회사 더블유라이프앤케어,이**,혁신성장유형,서울,서울특별시 강서구,도소매업,기타 가공식품 도매업,건강기능식품,2023-07-06,2026-07-05,벤처기업확인기관,신규
73,주식회사 대리의신,한**,혁신성장유형,서울,서울특별시 서초구,정보처리S/W,기타 정보기술 및 컴퓨터운영 관련 서비스업,대리운전 플랫폼 개발 및 서비스 제공,2023-05-17,2026-05-16,벤처기업확인기관,신규
74,(주)더블엠소셜컴퍼니,김**,혁신성장유형,대구,대구광역시 동구,정보처리S/W,그 외 기타 정보 서비스업,메타버스플랫폼,2023-06-28,2026-06-27,벤처기업확인기관,신규
75,주식회사 런코리안인코리안,김**,혁신성장유형,서울,서울특별시 구로구,정보처리S/W,응용 소프트웨어 개발 및 공급업,온라인 한국어 교육 서비스 개발,2023-06-21,2026-06-20,벤처기업확인기관,신규
76,주식회사 아이비로시스템,김**,연구개발유형,서울,서울특별시 강서구,정보처리S/W,컴퓨터시스템 통합 자문 및 구축 서비스업,"SW ERP, 센서를 이용한 IOT장비(도로관리)",2023-05-31,2026-05-30,벤처기업확인기관,재확인
77,주식회사 스마일이앤지,강**,혁신성장유형,경기,경기도 화성시,제조업,그 외 기타 분류 안된 금속 가공 제품 제조업,흔들림 방지 버팀대,2023-05-24,2026-05-23,벤처기업확인기관,재확인
78,(주)다온,유**,혁신성장유형,경기,경기도 양주시,도소매업,상품 종합 중개업,황사방역용마스크,2023-05-24,2026-05-23,벤처기업확인기관,신규
79,주식회사 인라이플,"한**,이**",혁신성장유형,서울,서울특별시 구로구,정보처리S/W,응용 소프트웨어 개발 및 공급업,모비온광고 등,2023-05-11,2026-05-10,벤처기업확인기관,재확인
80,태리온주식회사,조**,혁신성장유형,전남,전라남도 함평군,제조업,"질소화합물, 질소, 인산 및 칼리질 화학비료 제조업",친환경비료 ,2023-05-03,2026-05-02,벤처기업확인기관,신규
81,주식회사 앱캐모,김**,연구개발유형,서울,서울특별시 성동구,정보처리S/W,응용 소프트웨어 개발 및 공급업,모바일 앱 보안 솔루션,2023-06-14,2026-06-13,벤처기업확인기관,신규
82,모션텍,김**,혁신성장유형,대전,대전광역시 유성구,제조업,그 외 기타 일반목적용 기계 제조업,자동화관련기계제작설계,2023-05-03,2026-05-02,벤처기업확인기관,재확인
83,주식회사 커넥트아이,류**,혁신성장유형,서울,서울특별시 중구,정보처리S/W,포털 및 기타 인터넷 정보매개 서비스업,헬스케어 플랫폼 &apos;열달후에&apos;,2023-05-24,2026-05-23,벤처기업확인기관,신규
84,부곡스텐레스㈜,"홍**,홍**",혁신성장유형,부산,부산광역시 강서구,제조업,냉간 압연 및 압출 제품 제조업,"스테인리스 이형단면재, 파이프 & 튜브",2023-05-03,2026-05-02,벤처기업확인기관,재확인
85,팜드림주식회사,노**,혁신성장유형,경기,경기도 고양시,제조업,과자류 및 코코아 제품 제조업,"과자류,음료류,일반가공식품",2023-06-21,2026-06-20,벤처기업확인기관,재확인
86,인테리어 패밀리,김**,혁신성장유형,대전,대전광역시 유성구,도소매업,전자상거래 소매 중개업,인테리어제품 외,2023-05-17,2026-05-16,벤처기업확인기관,재확인
87,주식회사  백천기업,이**,혁신성장유형,충남,충청남도 천안시,제조업,반도체 제조용 기계 제조업,반도체부품,2023-06-08,2026-06-07,벤처기업확인기관,재확인
88,(주)유아이메카트로닉스,이**,혁신성장유형,경기,경기도 시흥시,제조업,그 외 기타 특수목적용 기계 제조업,"선형작동기, 액추에이터,3D프린터,위치제어장치,자동화장치",2023-06-07,2026-06-06,벤처기업확인기관,신규
89,서일전자주식회사,윤**,혁신성장유형,경기,경기도 남양주시,제조업,"전기회로 개폐, 보호장치 제조업",단자대,2023-06-21,2026-06-20,벤처기업확인기관,신규
90,주식회사 대건이엔지,김**,혁신성장유형,경북,경상북도 구미시,제조업,디스플레이 제조용 기계 제조업,LCD 및 솔라장비제조업,2023-07-20,2026-07-19,벤처기업확인기관,재확인
91,주식회사 스타닉스,김**,혁신성장유형,경기,경기도 수원시,제조업,그 외 기타 달리 분류되지 않은 제품 제조업,정전기측정장비,2023-06-14,2026-06-13,벤처기업확인기관,신규
92,주식회사 스와치온,이**,벤처투자유형,서울,서울특별시 성동구,도소매업,직물 도매업,글로벌 원단판매 온라인 플랫폼,2023-05-17,2026-05-16,벤처기업확인기관,재확인
93,주식회사 나무와달,김**,혁신성장유형,광주,광주광역시 동구,제조업,경 인쇄업,디자인 인쇄 출판,2023-05-31,2026-05-30,벤처기업확인기관,신규
94,주식회사 에이에스씨,김**,혁신성장유형,경북,경상북도 구미시,제조업,산업용 로봇 제조업,트랜스퍼,2023-06-14,2026-06-13,벤처기업확인기관,재확인
95,주식회사 디지털커브,이**,연구개발유형,서울,서울특별시 은평구,정보처리S/W,컴퓨터 프로그래밍 서비스업,"폴라리스,폴라리스MS",2023-05-31,2026-05-30,벤처기업확인기관,재확인
96,예길식품 주식회사,이**,혁신성장유형,강원,강원도 횡성군,제조업,김치류 제조업,김치 및 절임식품,2023-06-07,2026-06-06,벤처기업확인기관,신규
97,주식회사 나온씨에스,남**,혁신성장유형,대전,대전광역시 유성구,제조업,일반용 도료 및 관련제품 제조업,기능성 코팅제,2023-06-21,2026-06-20,벤처기업확인기관,재확인
98,주식회사 디에어,정**,혁신성장유형,전남,전라남도 나주시,제조업,산업용 로봇 제조업,"산업용 로봇, 농업용 드론, 산업용 드론, 수상 드론",2023-05-03,2026-05-02,벤처기업확인기관,신규
99,주식회사 알파에이디티,"황**,황**",연구개발유형,경기,경기도 화성시,제조업,기타 반도체소자 제조업,반도체 박막 제조,2023-05-03,2026-05-02,벤처기업확인기관,신규
100,(주)퓨처젠 씨플래닛,성**,혁신성장유형,서울,서울특별시 구로구,정보처리S/W,컴퓨터시스템 통합 자문 및 구축 서비스업,VR/AR 개발 및 클라우드 구축 및 유지보수업,2023-05-31,2026-05-30,벤처기업확인기관,신규
101,에스제이티 주식회사,이**,혁신성장유형,대전,대전광역시 유성구,제조업,"물질 검사, 측정 및 분석기구 제조업","두께 측정기, 교육훈련장비",2023-06-07,2026-06-06,벤처기업확인기관,신규
102,주식회사 나노콘,김**,벤처투자유형,경북,경상북도 포항시,제조업,"물질 검사, 측정 및 분석기구 제조업",마이크로 스케일 센서/모듈/시스템,2023-05-31,2026-05-30,벤처기업확인기관,재확인
103,㈜케이이엠,"노**,노**",혁신성장유형,부산,부산광역시 강서구,제조업,그 외 기타 일반목적용 기계 제조업,오일스키머,2023-05-31,2026-05-30,벤처기업확인기관,재확인
104,(주)엠와이씨앤엠,배**,연구개발유형,서울,서울특별시 용산구,기타,건물 및 토목 엔지니어링 서비스업,"공정관리, 계측, 안전진단",2023-06-21,2026-06-20,벤처기업확인기관,신규
105,큐패스코리아 주식회사,정**,혁신성장유형,경기,경기도 용인시,정보처리S/W,응용 소프트웨어 개발 및 공급업,"KIOSK 소프트웨어(매표,식음)",2023-05-17,2026-05-16,벤처기업확인기관,신규
106,주식회사 에코페이스,윤**,혁신성장유형,경북,경상북도 구미시,기타,환경 관련 엔지니어링 서비스업,"대기측정서비스, 수질측정서비스, TMS",2023-06-21,2026-06-20,벤처기업확인기관,신규
107,파이어폭스,이**,혁신성장유형,경남,경상남도 창원시,제조업,그 외 기타 달리 분류되지 않은 제품 제조업,"소화기 ,세정제",2023-06-28,2026-06-27,벤처기업확인기관,신규
108,주식회사 힛더티,황**,벤처투자유형,서울,서울특별시 성동구,도소매업,기타 음ㆍ식료품 위주 종합 소매업,차류,2023-05-17,2026-05-16,벤처기업확인기관,재확인
109,혁강산업,"이**,박**",혁신성장유형,경북,경상북도 칠곡군,제조업,자동차 차체용 신품 부품 제조업,"자동차부품, 농자재",2024-05-29,2027-05-28,벤처기업확인기관,신규
110,(주)온길,임**,연구개발유형,경기,경기도 부천시,제조업,그 외 기타 플라스틱 제품 제조업,"스마트폰 Acc 사출 , 금형 설계 제작 , 화장품 ,의료기기 사출 금형 ,  제품 조립 포장",2023-06-14,2026-06-13,벤처기업확인기관,신규
111,주식회사 비엠산업,김**,혁신성장유형,경북,경상북도 경주시,제조업,그 외 자동차용 신품 부품 제조업,PU FOAM PAD,2023-05-24,2026-05-23,벤처기업확인기관,신규
112,주식회사 데이타플로우,윤**,혁신성장유형,경기,경기도 고양시,도소매업,기타 통신 판매업,온라인 플랫폼 운영업,2023-05-03,2026-05-02,벤처기업확인기관,신규
113,농업회사법인 주식회사 반디,기**,혁신성장유형,경기,경기도 이천시,제조업,기타 과실ㆍ채소 가공 및 저장 처리업,샐러드및채소가공품,2023-05-03,2026-05-02,벤처기업확인기관,재확인
114,주식회사삼광,김**,혁신성장유형,울산,울산광역시 남구,제조업,기타 기초 무기 화학물질 제조업,질산나트륨 혼합알카리 외,2023-05-25,2026-05-24,벤처기업확인기관,재확인
115,주식회사 크레오티,강**,혁신성장유형,서울,서울특별시 중랑구,정보처리S/W,컴퓨터시스템 통합 자문 및 구축 서비스업,"MES(제조 모니터링 시스템), FEMS(환경모니터링 시스템)",2023-05-31,2026-05-30,벤처기업확인기관,신규
116,(주)성신화스너,김**,혁신성장유형,경기,경기도 김포시,제조업,그 외 기타 1차 철강 제조업,"전산볼트,앙카볼트,도금 외",2023-05-10,2026-05-09,벤처기업확인기관,신규
117,스쿠버엔지니어링,이**,혁신성장유형,서울,서울특별시 강동구,제조업,"기타 측정, 시험, 항해, 제어 및 정밀기기 제조업",측정시험정밀기기,2023-06-21,2026-06-20,벤처기업확인기관,재확인
118,주식회사 건일방재,박**,혁신성장유형,서울,서울특별시 금천구,기타,건축설계 및 관련 서비스업,설계 및 감리,2023-05-24,2026-05-23,벤처기업확인기관,신규
119,(유)온성,김**,혁신성장유형,전북,전라북도 익산시,제조업,교통 신호장치 제조업,오디오앰프,2023-06-21,2026-06-20,벤처기업확인기관,신규
120,주식회사 동진에스앤디,김**,혁신성장유형,경기,경기도 안산시,제조업,전시 및 광고용 조명장치 제조업,전광판 멀티비젼,2023-05-10,2026-05-09,벤처기업확인기관,재확인
121,피케이솔루션,박**,혁신성장유형,경기,경기도 시흥시,제조업,그 외 기타 특수목적용 기계 제조업,주방 집진후드장치,2023-06-07,2026-06-06,벤처기업확인기관,신규
122,주식회사 위트소프트,이**,연구개발유형,울산,울산광역시 남구,정보처리S/W,시스템 소프트웨어 개발 및 공급업,조선해양 엔지니어링 소프트웨어,2023-05-03,2026-05-02,벤처기업확인기관,재확인
123,(주)좋은아침,홍**,혁신성장유형,경기,경기도 김포시,제조업,컴퓨터 모니터 제조업,컴퓨터모니터,2023-05-11,2026-05-10,벤처기업확인기관,신규
124,주식회사 메디테이크,지**,혁신성장유형,경기,경기도 수원시,연구개발서비스,의학 및 약학 연구개발업,의약품 개발,2023-05-31,2026-05-30,벤처기업확인기관,신규
125,(주)컴퍼니합,김**,혁신성장유형,서울,서울특별시 용산구,도소매업,전자상거래 소매 중개업,숙박패키지및중개,2023-05-24,2026-05-23,벤처기업확인기관,신규
126,인터텍 주식회사,김**,혁신성장유형,대구,대구광역시 수성구,제조업,그 외 기타 전자부품 제조업,음원 및 영상 방송장비 반도체 검사장비 모듈,2023-05-31,2026-05-30,벤처기업확인기관,재확인
127,㈜윤성정기,조**,혁신성장유형,대구,대구광역시 달서구,제조업,건설 및 채광용 기계장비 제조업,유압브레이커,2023-05-11,2026-05-10,벤처기업확인기관,재확인
128,주식회사 센텀인터넷,곽**,혁신성장유형,부산,부산광역시 해운대구,정보처리S/W,컴퓨터시스템 통합 자문 및 구축 서비스업,프로그램 개발,2023-05-03,2026-05-02,벤처기업확인기관,재확인
129,주식회사 위키시큐리티,홍**,연구개발유형,서울,서울특별시 금천구,기타,보안시스템 서비스업,국내외 정보보안컨설팅 보안시스템 개발,2023-05-17,2026-05-16,벤처기업확인기관,재확인
130,주식회사 에스에이치켐,이**,혁신성장유형,경기,경기도 성남시,제조업,석유화학계 기초 화학물질 제조업,화공약품,2023-05-17,2026-05-16,벤처기업확인기관,재확인
131,주식회사 제이솔루션,전**,혁신성장유형,경기,경기도 평택시,제조업,반도체 제조용 기계 제조업,"이형삽입기 로봇, 공급기, 노즐,외주FA개발",2023-11-15,2026-11-14,벤처기업확인기관,신규
132,비지에스코스메틱 주식회사,서**,혁신성장유형,서울,서울특별시 구로구,제조업,그 외 기타 특수목적용 기계 제조업,마스크팩 제조기기 및 화장품 원료 판매,2023-06-07,2026-06-06,벤처기업확인기관,재확인
133,주식회사 세이브프롬,차**,혁신성장유형,서울,서울특별시 성동구,기타,"소독, 구충 및 방제 서비스업",방역,2023-05-31,2026-05-30,벤처기업확인기관,신규
134,(주)부흥산업사,안**,혁신성장유형,경기,경기도 안산시,제조업,기타 기초 무기 화학물질 제조업,"화공약품,농약중간체",2023-05-31,2026-05-30,벤처기업확인기관,재확인
